Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3186895042,crclngthdrn,0,137.35,P Michael Lorenzen P Dylan Bundy OF Shohei Ohtani OF Byron Buxton SS Carlos Correa 2B Jorge Polanco 1B Jared Walsh 3B Anthony Rendon C Max Stassi OF Brandon Marsh,,Austin Riley,3B,45.53%,0
2,3186817603,mwomacks,0,131.35,P Michael Lorenzen P Dylan Bundy OF Shohei Ohtani OF Byron Buxton 1B Brandon Belt 2B Brandon Lowe SS Wander Franco 3B Luis Arraez OF Joc Pederson C Gary Sánchez,,Marcell Ozuna,OF,45.11%,8
3,3186534837,JDLENNON14,0,127.55,P Alek Manoah P Nick Martinez 1B Vladimir Guerrero Jr. OF Shohei Ohtani 3B Austin Riley OF Seth Brown C Sean Murphy 2B Tony Kemp SS Elvis Andrus OF Josh Lowe,,Ozzie Albies,2B,43.83%,7
4,3186605395,Anthonyb151131,0,126.35,P Michael Lorenzen P Dylan Bundy OF Byron Buxton SS Wander Franco 2B Ozzie Albies 3B Austin Riley C J.T. Realmuto OF Adam Duvall 1B Ji-Man Choi OF Marcell Ozuna,,Dylan Bundy,P,32.98%,18.05
5,3186516090,craftylefty,0,125.55,P Alek Manoah P Nick Martinez SS Bo Bichette OF George Springer 3B Manny Machado OF Teoscar Hernández 2B Jake Cronenworth 1B Luke Voit C Austin Nola OF Jurickson Profar,,Shohei Ohtani,1B,31.49%,10
6,3186381067,wideout83,0,121.85,P Alex Wood P Michael Lorenzen OF Byron Buxton OF Juan Soto SS Carlos Correa OF Nelson Cruz 1B Josh Bell 2B Luis Arraez 3B J.D. Davis C Gary Sánchez,,Alex Wood,P,30.21%,13.55
7,3186727214,8THEKING8,0,121.35,P Michael Lorenzen P Dylan Bundy OF Shohei Ohtani OF Byron Buxton SS Carlos Correa 2B Jorge Polanco 1B Jared Walsh C Max Stassi OF Max Kepler 3B Luis Arraez,,Wander Franco,SS,29.57%,15
8,3186872899,jkelly13,0,120.35,P Michael Lorenzen P Dylan Bundy OF Shohei Ohtani OF Byron Buxton SS Carlos Correa 2B Ozzie Albies 3B Austin Riley 1B Jared Walsh C Francisco Mejía OF Brandon Marsh,,Adam Duvall,OF,28.94%,5
9,3186107299,eppy12588,0,119.8,P Alek Manoah P Michael Lorenzen 2B Ozzie Albies 3B Austin Riley C J.T. Realmuto SS Dansby Swanson OF Adam Duvall OF Marcell Ozuna 1B Seth Brown OF Joc Pederson,,Huascar Ynoa,P,28.51%,-0.65
10,3186539540,kkrieter,0,119.35,P Michael Lorenzen P Dylan Bundy OF Shohei Ohtani OF Byron Buxton 2B Brandon Lowe 3B Austin Riley SS Francisco Lindor C J.T. Realmuto 1B Josh Bell OF Jose Rojas,,Gary Sánchez,C,26.38%,3
11,3186682323,JackG1111,0,116.55,P Alek Manoah P Dylan Bundy OF Byron Buxton SS Carlos Correa 2B Jazz Chisholm Jr. OF Jesús Sánchez OF Jorge Soler 3B Luis Arraez 1B Alex Kirilloff C Gary Sánchez,,Michael Lorenzen,P,23.40%,28.3
12,3186851108,grhea99,0,114.55,P Alek Manoah P Nick Martinez 1B Vladimir Guerrero Jr. SS Bo Bichette OF George Springer 2B Ozzie Albies OF Teoscar Hernández 3B Chad Pinder C Manny Piña OF Billy McKinney,,Byron Buxton,OF,22.77%,21
12,3186860927,jamjamc94,0,114.55,P Alek Manoah P Dylan Bundy OF Byron Buxton SS Wander Franco OF Kyle Schwarber 1B Jared Walsh 2B Joey Wendle OF Joc Pederson 3B Gio Urshela C Joey Bart,,Luis Patiño,P,22.34%,-1.1
14,3186370326,Glockoma1,0,113.8,P Alek Manoah P Michael Lorenzen OF Byron Buxton 2B Brandon Lowe SS Wander Franco 1B Ji-Man Choi OF Max Kepler 3B Gio Urshela C Gary Sánchez OF Josh Lowe,,Josh Lowe,OF,21.70%,2
15,3186429041,gp1121,0,113.35,P Michael Lorenzen P Dylan Bundy OF Byron Buxton OF Kyle Schwarber 2B Jorge Polanco 1B Jared Walsh OF Max Kepler SS Didi Gregorius 3B Luis Arraez C Gary Sánchez,,Nick Martinez,P,21.49%,17.05
16,3186819926,jaxlawrence7,0,112.1,P Nick Martinez P Dylan Bundy OF Shohei Ohtani 1B Matt Olson SS Wander Franco 2B Ozzie Albies 3B Austin Riley OF Jesús Sánchez OF Marcell Ozuna C Gary Sánchez,,Kyle Schwarber,OF,20.43%,4
17,3186236081,gronk-a-tron,0,111.35,P Michael Lorenzen P Dylan Bundy 1B Vladimir Guerrero Jr. OF Shohei Ohtani OF Byron Buxton OF Juan Soto SS Wander Franco C Alejandro Kirk 3B J.D. Davis 2B Thairo Estrada,,Brandon Lowe,2B,19.57%,3
17,3186863521,brewerfan27,0,111.35,P Michael Lorenzen P Dylan Bundy OF Byron Buxton 1B Matt Olson SS Wander Franco 2B Ozzie Albies 3B Austin Riley OF Adam Duvall OF Marcell Ozuna C Francisco Mejía,,Francisco Mejía,C,18.30%,3
19,3186766255,Infidel8,0,110.85,P Alek Manoah P Huascar Ynoa OF Shohei Ohtani OF Brandon Nimmo 1B Ji-Man Choi OF Marcell Ozuna 2B Luis Arraez SS Elvis Andrus C Francisco Mejía 3B Gio Urshela,,Alek Manoah,P,18.09%,28.5
20,3186776840,Bulldog2205,0,110.35,P Michael Lorenzen P Dylan Bundy OF Shohei Ohtani 1B Brandon Belt SS Wander Franco OF Kyle Schwarber 3B Anthony Rendon OF Mike Yastrzemski 2B Joey Wendle C Sean Murphy,,Bryce Harper,OF,15.32%,2
21,3186867190,82Goldtop,0,109.85,P Alex Wood P Michael Lorenzen 1B Matt Olson 2B Ozzie Albies 3B Austin Riley OF Teoscar Hernández OF Adam Duvall OF Marcell Ozuna SS Elvis Andrus C Francisco Mejía,,Matt Olson,1B,14.89%,6
22,3186860079,gatorbk37,0,109.8,P Alek Manoah P Michael Lorenzen 1B Shohei Ohtani OF Byron Buxton 2B Ozzie Albies 3B Austin Riley OF Adam Duvall C Gary Sánchez SS Orlando Arcia OF Julio Rodríguez,,Jared Walsh,1B,13.40%,2
23,3186526984,beeks82,0,109.1,P Nick Martinez P Dylan Bundy OF Shohei Ohtani OF George Springer 1B Pete Alonso 2B Ozzie Albies SS Francisco Lindor C J.T. Realmuto 3B Anthony Rendon OF Marcell Ozuna,,Dansby Swanson,SS,12.98%,0
24,3186898604,Boltz017,0,108.4,P Alek Manoah P Luis Patiño 2B Brandon Lowe SS Wander Franco OF Jesús Sánchez OF Jorge Soler 1B Josh Bell 3B Joey Wendle C Keibert Ruiz OF Julio Rodríguez,,Ji-Man Choi,1B,12.98%,8
25,3186855086,braun_4,0,108.35,P Michael Lorenzen P Dylan Bundy OF Juan Soto 2B Brandon Lowe SS Wander Franco 1B Rhys Hoskins 3B Austin Riley C J.T. Realmuto OF Marcell Ozuna OF Josh Lowe,,Carlos Correa,SS,12.55%,2
