,Rank,Points,Player_1_Name,Player_2_Name,Player_3_Name,Player_4_Name,Player_5_Name,Player_6_Name,Player_7_Name,Player_8_Name,Player_9_Name,Player_10_Name,Player_1_Position_Rostered,Player_2_Position_Rostered,Player_3_Position_Rostered,Player_4_Position_Rostered,Player_5_Position_Rostered,Player_6_Position_Rostered,Player_7_Position_Rostered,Player_8_Position_Rostered,Player_9_Position_Rostered,Player_10_Position_Rostered,Player_1_Salary,Player_2_Salary,Player_3_Salary,Player_4_Salary,Player_5_Salary,Player_6_Salary,Player_7_Salary,Player_8_Salary,Player_9_Salary,Player_10_Salary,Player_1_Team,Player_2_Team,Player_3_Team,Player_4_Team,Player_5_Team,Player_6_Team,Player_7_Team,Player_8_Team,Player_9_Team,Player_10_Team,Main_Stack,Secondary_Stack,Tertiary_Stack,Main_Stack_Length,Secondary_Stack_Length,Tertiary_Stack_Length
crclngthdrn,1,137.35,Michael Lorenzen,Dylan Bundy,Shohei Ohtani,Byron Buxton,Carlos Correa,Jorge Polanco,Jared Walsh,Anthony Rendon,Max Stassi,Brandon Marsh,P,P,OF,OF,SS,2B,1B,3B,C,OF,6700,5600,6000,5900,5100,4900,4700,4300,3700,3100,LAA,MIN,LAA,MIN,MIN,MIN,LAA,LAA,LAA,LAA,LAA,MIN,,5,3,
mwomacks,2,131.35,Michael Lorenzen,Dylan Bundy,Shohei Ohtani,Byron Buxton,Brandon Belt,Brandon Lowe,Wander Franco,Luis Arraez,Joc Pederson,Gary Sanchez,P,P,OF,OF,1B,2B,SS,3B,OF,C,6700,5600,6000,5900,5500,5400,5300,3600,3200,2800,LAA,MIN,LAA,MIN,SF,TB,TB,MIN,SF,MIN,MIN,TB,SF,3,2,2
JDLENNON14,3,127.55,Alek Manoah,Nick Martinez,Vladimir Guerrero Jr.,Shohei Ohtani,Austin Riley,Seth Brown,Sean Murphy,Tony Kemp,Elvis Andrus,Josh Lowe,P,P,1B,OF,3B,OF,C,2B,SS,OF,10200,5900,6100,6000,4800,3500,3500,3300,3300,2800,TOR,SD,TOR,LAA,ATL,OAK,OAK,OAK,OAK,TB,OAK,,,4,,
Anthonyb151131,4,126.35,Michael Lorenzen,Dylan Bundy,Byron Buxton,Wander Franco,Ozzie Albies,Austin Riley,J.T. Realmuto,Adam Duvall,Ji-Man Choi,Marcell Ozuna,P,P,OF,SS,2B,3B,C,OF,1B,OF,6700,5600,5900,5300,4800,4800,4600,4100,4000,3800,LAA,MIN,MIN,TB,ATL,ATL,PHI,ATL,TB,ATL,ATL,TB,,4,2,
craftylefty,5,125.55,Alek Manoah,Nick Martinez,Bo Bichette,George Springer,Manny Machado,Teoscar Hernandez,Jake Cronenworth,Luke Voit,Austin Nola,Jurickson Profar,P,P,SS,OF,3B,OF,2B,1B,C,OF,10200,5900,5400,5100,4900,4700,4200,3300,2900,2400,TOR,SD,TOR,TOR,SD,TOR,SD,SD,SD,SD,SD,TOR,,5,3,
wideout83,6,121.85,Alex Wood,Michael Lorenzen,Byron Buxton,Juan Soto,Carlos Correa,Nelson Cruz,Josh Bell,Luis Arraez,J.D. Davis,Gary Sanchez,P,P,OF,OF,SS,OF,1B,2B,3B,C,9200,6700,5900,5700,5100,4000,3800,3600,3000,2800,SF,LAA,MIN,WAS,MIN,WAS,WAS,MIN,NYM,MIN,MIN,WAS,,4,3,
8THEKING8,7,121.35,Michael Lorenzen,Dylan Bundy,Shohei Ohtani,Byron Buxton,Carlos Correa,Jorge Polanco,Jared Walsh,Max Stassi,Max Kepler,Luis Arraez,P,P,OF,OF,SS,2B,1B,C,OF,3B,6700,5600,6000,5900,5100,4900,4700,3700,3700,3600,LAA,MIN,LAA,MIN,MIN,MIN,LAA,LAA,MIN,MIN,MIN,LAA,,5,3,
jkelly13,8,120.35,Michael Lorenzen,Dylan Bundy,Shohei Ohtani,Byron Buxton,Carlos Correa,Ozzie Albies,Austin Riley,Jared Walsh,Francisco Mejia,Brandon Marsh,P,P,OF,OF,SS,2B,3B,1B,C,OF,6700,5600,6000,5900,5100,4800,4800,4700,3200,3100,LAA,MIN,LAA,MIN,MIN,ATL,ATL,LAA,TB,LAA,LAA,ATL,MIN,3,2,2
eppy12588,9,119.8,Alek Manoah,Michael Lorenzen,Ozzie Albies,Austin Riley,J.T. Realmuto,Dansby Swanson,Adam Duvall,Marcell Ozuna,Seth Brown,Joc Pederson,P,P,2B,3B,C,SS,OF,OF,1B,OF,10200,6700,4800,4800,4600,4200,4100,3800,3500,3200,TOR,LAA,ATL,ATL,PHI,ATL,ATL,ATL,OAK,SF,ATL,,,5,,
kkrieter,10,119.35,Michael Lorenzen,Dylan Bundy,Shohei Ohtani,Byron Buxton,Brandon Lowe,Austin Riley,Francisco Lindor,J.T. Realmuto,Josh Bell,Jose Rojas,P,P,OF,OF,2B,3B,SS,C,1B,OF,6700,5600,6000,5900,5400,4800,4600,4600,3800,2600,LAA,MIN,LAA,MIN,TB,ATL,NYM,PHI,WAS,LAA,LAA,,,2,,
JackG1111,11,116.55,Alek Manoah,Dylan Bundy,Byron Buxton,Carlos Correa,Jazz Chisholm Jr.,Jesus Sanchez,Jorge Soler,Luis Arraez,Alex Kirilloff,Gary Sanchez,P,P,OF,SS,2B,OF,OF,3B,1B,C,10200,5600,5900,5100,5000,4200,4100,3600,3400,2800,TOR,MIN,MIN,MIN,MIA,MIA,MIA,MIN,MIN,MIN,MIN,MIA,,5,3,
grhea99,12,114.55,Alek Manoah,Nick Martinez,Vladimir Guerrero Jr.,Bo Bichette,George Springer,Ozzie Albies,Teoscar Hernandez,Chad Pinder,Manny Pina,Billy McKinney,P,P,1B,SS,OF,2B,OF,3B,C,OF,10200,5900,6100,5400,5100,4800,4700,2700,2600,2400,TOR,SD,TOR,TOR,TOR,ATL,TOR,OAK,ATL,OAK,TOR,ATL,OAK,4,2,2
jamjamc94,12,114.55,Alek Manoah,Dylan Bundy,Byron Buxton,Wander Franco,Kyle Schwarber,Jared Walsh,Joey Wendle,Joc Pederson,Gio Urshela,Joey Bart,P,P,OF,SS,OF,1B,2B,OF,3B,C,10200,5600,5900,5300,5300,4700,3800,3200,3200,2500,TOR,MIN,MIN,TB,PHI,LAA,MIA,SF,MIN,SF,SF,MIN,,2,2,
Glockoma1,14,113.8,Alek Manoah,Michael Lorenzen,Byron Buxton,Brandon Lowe,Wander Franco,Ji-Man Choi,Max Kepler,Gio Urshela,Gary Sanchez,Josh Lowe,P,P,OF,2B,SS,1B,OF,3B,C,OF,10200,6700,5900,5400,5300,4000,3700,3200,2800,2800,TOR,LAA,MIN,TB,TB,TB,MIN,MIN,MIN,TB,MIN,TB,,4,4,
gp1121,15,113.35,Michael Lorenzen,Dylan Bundy,Byron Buxton,Kyle Schwarber,Jorge Polanco,Jared Walsh,Max Kepler,Didi Gregorius,Luis Arraez,Gary Sanchez,P,P,OF,OF,2B,1B,OF,SS,3B,C,6700,5600,5900,5300,4900,4700,3700,3700,3600,2800,LAA,MIN,MIN,PHI,MIN,LAA,MIN,PHI,MIN,MIN,MIN,PHI,,5,2,
jaxlawrence7,16,112.1,Nick Martinez,Dylan Bundy,Shohei Ohtani,Matt Olson,Wander Franco,Ozzie Albies,Austin Riley,Jesus Sanchez,Marcell Ozuna,Gary Sanchez,P,P,OF,1B,SS,2B,3B,OF,OF,C,5900,5600,6000,5400,5300,4800,4800,4200,3800,2800,SD,MIN,LAA,ATL,TB,ATL,ATL,MIA,ATL,MIN,ATL,,,4,,
gronk-a-tron,17,111.35,Michael Lorenzen,Dylan Bundy,Vladimir Guerrero Jr.,Shohei Ohtani,Byron Buxton,Juan Soto,Wander Franco,Alejandro Kirk,J.D. Davis,Thairo Estrada,P,P,1B,OF,OF,OF,SS,C,3B,2B,6700,5600,6100,6000,5900,5700,5300,3100,3000,2600,LAA,MIN,TOR,LAA,MIN,WAS,TB,TOR,NYM,SF,TOR,,,2,,
brewerfan27,17,111.35,Michael Lorenzen,Dylan Bundy,Byron Buxton,Matt Olson,Wander Franco,Ozzie Albies,Austin Riley,Adam Duvall,Marcell Ozuna,Francisco Mejia,P,P,OF,1B,SS,2B,3B,OF,OF,C,6700,5600,5900,5400,5300,4800,4800,4100,3800,3200,LAA,MIN,MIN,ATL,TB,ATL,ATL,ATL,ATL,TB,ATL,TB,,5,2,
